"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN","TOBS","TSUN"
"USC00115922","42.07917","-87.94722","204.2","1995-09-05","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-09-06","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-09-07","1.29",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-09-08","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-09-09","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-09-10","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-09-11","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-09-12","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-09-13","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-09-14","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-09-15","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-09-16","0.25",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-09-17","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-09-18","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-09-19","0.11",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-09-20","0.03",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-09-21","0.42",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-09-22","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-09-23","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-09-24","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-09-25","0.01",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-09-26","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-09-27","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-09-28","0.00",,,,,
