ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
7874529,HT105131,01/04/2011 04:00:00 AM,095XX S DAN RYAN EXPY IB,0870,THEFT,POCKET-PICKING,CTA TRAIN,false,false,0511,005,21,49,06,1177851,1841817,2011,02/04/2016 06:33:39 AM,41.721262968,-87.62416317,"(41.721262968, -87.62416317)"
7873585,HT104423,01/04/2011 07:43:00 AM,079XX S CICERO AVE,0820,THEFT,$500 AND UNDER,CTA BUS,false,false,0834,008,13,70,06,1145803,1851440,2011,02/04/2016 06:33:39 AM,41.748334794,-87.74130751,"(41.748334794, -87.74130751)"
7881163,HT104509,01/04/2011 08:40:00 AM,011XX W THORNDALE AVE,1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,CTA PLATFORM,false,false,2433,024,48,77,17,1167594,1939683,2011,02/04/2016 06:33:39 AM,41.990041584,-87.65891695,"(41.990041584, -87.65891695)"
7874590,HT105241,01/04/2011 04:15:00 PM,005XX S PULASKI RD,0820,THEFT,$500 AND UNDER,CTA TRAIN,false,false,1132,011,24,26,06,1149812,1897228,2011,02/04/2016 06:33:39 AM,41.873907046,-87.725430093,"(41.873907046, -87.725430093)"
7874715,HT105311,01/04/2011 05:50:00 PM,028XX W LAKE ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,CTA TRAIN,true,false,1331,012,2,27,18,1157617,1901047,2011,02/04/2016 06:33:39 AM,41.884231489,-87.696669693,"(41.884231489, -87.696669693)"
7874658,HT105385,01/04/2011 06:30:00 PM,013XX W MORSE AVE,0460,BATTERY,SIMPLE,CTA TRAIN,false,false,2431,024,49,1,08B,1165794,1946184,2011,02/04/2016 06:33:39 AM,42.007919177,-87.665351128,"(42.007919177, -87.665351128)"
7874724,HT105442,01/04/2011 06:30:00 PM,029XX E 83RD ST,0440,BATTERY,AGG: HANDS/FIST/FEET NO/MINOR INJURY,CTA PLATFORM,false,false,0424,004,10,46,08B,1197469,1850510,2011,02/04/2016 06:33:39 AM,41.744651331,-87.552018554,"(41.744651331, -87.552018554)"
7874939,HT105569,01/04/2011 08:43:00 PM,015XX N SEDGWICK ST,0820,THEFT,$500 AND UNDER,CTA TRAIN,false,false,1821,018,43,8,06,1173364,1910604,2011,02/04/2016 06:33:39 AM,41.910121292,-87.638560993,"(41.910121292, -87.638560993)"
7876106,HT106756,01/04/2011 11:00:00 PM,040XX W LAKE ST,0810,THEFT,OVER $500,CTA TRAIN,false,false,1114,011,28,26,06,1149512,1901446,2011,02/04/2016 06:33:39 AM,41.885487535,-87.726422045,"(41.885487535, -87.726422045)"
7875010,HT105731,01/04/2011 11:15:00 PM,0000X W 95TH ST,0460,BATTERY,SIMPLE,CTA BUS STOP,false,false,0634,006,21,49,08B,1177939,1841957,2011,02/04/2016 06:33:39 AM,41.721645156,-87.62383662,"(41.721645156, -87.62383662)"
7875228,HT105849,01/05/2011 12:01:00 AM,063XX S ASHLAND AVE,0620,BURGLARY,UNLAWFUL ENTRY,CTA BUS STOP,false,false,0725,007,16,67,05,1166756,1862726,2011,02/04/2016 06:33:39 AM,41.778883826,-87.664206366,"(41.778883826, -87.664206366)"
7875786,HT105899,01/05/2011 01:00:00 AM,0000X W 95TH ST,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,CTA TRAIN,false,false,0634,006,21,49,14,1177762,1841949,2011,02/04/2016 06:33:39 AM,41.721627204,-87.624485177,"(41.721627204, -87.624485177)"
7875205,HT105866,01/05/2011 07:00:00 AM,002XX N STATE ST,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,CTA TRAIN,true,false,0122,001,42,32,14,1176327,1901797,2011,02/04/2016 06:33:39 AM,41.885888079,-87.627942238,"(41.885888079, -87.627942238)"
7875810,HT106223,01/05/2011 09:00:00 AM,079XX S WESTERN AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,CTA BUS STOP,true,true,0835,008,18,70,26,1161763,1851734,2011,02/04/2016 06:33:39 AM,41.748825348,-87.682815946,"(41.748825348, -87.682815946)"
7883902,HT106074,01/05/2011 10:15:00 AM,0000X W CTA OHARE PLATFORM ST,1570,SEX OFFENSE,PUBLIC INDECENCY,CTA PLATFORM,true,false,1654,016,41,76,17,1100955,1934905,2011,02/04/2016 06:33:39 AM,41.978108446,-87.904122758,"(41.978108446, -87.904122758)"
7885934,HT106310,01/05/2011 11:49:41 AM,046XX N BROADWAY,1680,GAMBLING,OTHER,CTA PLATFORM,true,false,2311,019,46,3,19,1167942,1930944,2011,02/04/2016 06:33:39 AM,41.966053999,-87.657890403,"(41.966053999, -87.657890403)"
7876049,HT106654,01/05/2011 12:00:00 PM,095XX S STATE ST,0870,THEFT,POCKET-PICKING,CTA TRAIN,false,false,0511,005,21,49,06,1177973,1841788,2011,02/04/2016 06:33:39 AM,41.721180629,-87.623717187,"(41.721180629, -87.623717187)"
7875793,HT106294,01/05/2011 12:25:00 PM,0000X N STATE ST,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,CTA PLATFORM,true,false,0122,001,42,32,26,1176361,1900610,2011,02/04/2016 06:33:39 AM,41.882630118,-87.627853218,"(41.882630118, -87.627853218)"
7877072,HT107497,01/05/2011 01:00:00 PM,008XX N MICHIGAN AVE,0890,THEFT,FROM BUILDING,CTA BUS,false,false,1833,018,42,8,06,1177338,1906265,2011,02/04/2016 06:33:39 AM,41.898125628,-87.624094055,"(41.898125628, -87.624094055)"
7878141,HT107632,01/05/2011 02:00:00 PM,032XX W MADISON ST,0560,ASSAULT,SIMPLE,CTA BUS,false,false,1123,011,28,27,08A,1154869,1899836,2011,02/04/2016 06:33:39 AM,41.880963885,-87.706793179,"(41.880963885, -87.706793179)"
