"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN","TOBS"
"US1ILCK0027","42.0355","-88.1651","246.0","2007-09-09","0.00",,,,
"US1ILCK0027","42.0355","-88.1651","246.0","2007-09-10","0.00",,,,
"US1ILCK0027","42.0355","-88.1651","246.0","2007-09-11","0.54",,,,
"US1ILCK0027","42.0355","-88.1651","246.0","2007-09-12","0.00",,,,
"US1ILCK0027","42.0355","-88.1651","246.0","2007-09-13","0.00",,,,
"US1ILCK0027","42.0355","-88.1651","246.0","2007-09-14","0.00",,,,
"US1ILCK0027","42.0355","-88.1651","246.0","2007-09-15","0.00",,,,
"US1ILCK0027","42.0355","-88.1651","246.0","2007-09-16","0.00",,,,
"US1ILCK0027","42.0355","-88.1651","246.0","2007-09-17","0.00",,,,
"US1ILCK0027","42.0355","-88.1651","246.0","2007-09-18","0.00",,,,
"US1ILCK0027","42.0355","-88.1651","246.0","2007-09-19","0.00",,,,
"US1ILCK0027","42.0355","-88.1651","246.0","2007-09-20","0.00",,,,
"US1ILCK0027","42.0355","-88.1651","246.0","2007-09-21","0.00",,,,
"US1ILCK0027","42.0355","-88.1651","246.0","2007-09-22","0.00",,,,
"US1ILCK0027","42.0355","-88.1651","246.0","2007-09-23","0.00",,,,
"US1ILCK0027","42.0355","-88.1651","246.0","2007-09-24","0.00",,,,
"US1ILCK0027","42.0355","-88.1651","246.0","2007-09-25","0.00",,,,
"US1ILCK0027","42.0355","-88.1651","246.0","2007-09-26","0.47",,,,
"US1ILCK0027","42.0355","-88.1651","246.0","2007-09-27","0.00",,,,
"US1ILCK0027","42.0355","-88.1651","246.0","2007-09-28","0.00",,,,
"US1ILCK0027","42.0355","-88.1651","246.0","2007-09-29","0.00",,,,
"US1ILCK0027","42.0355","-88.1651","246.0","2007-09-30","0.00",,,,
"US1ILCK0027","42.0355","-88.1651","246.0","2007-10-01","0.60",,,,
"US1ILCK0027","42.0355","-88.1651","246.0","2007-10-02","0.03",,,,
"US1ILCK0027","42.0355","-88.1651","246.0","2007-10-03","0.26",,,,
"US1ILCK0027","42.0355","-88.1651","246.0","2007-10-04","0.00",,,,
"US1ILCK0027","42.0355","-88.1651","246.0","2007-10-05","0.00",,,,
"US1ILCK0027","42.0355","-88.1651","246.0","2007-10-06","0.00",,,,
"US1ILCK0027","42.0355","-88.1651","246.0","2007-10-07","0.00",,,,
"US1ILCK0027","42.0355","-88.1651","246.0","2007-10-08","0.00",,,,
"US1ILCK0027","42.0355","-88.1651","246.0","2007-10-09","0.02",,,,
"US1ILCK0027","42.0355","-88.1651","246.0","2007-10-10","0.00",,,,
"US1ILCK0027","42.0355","-88.1651","246.0","2007-10-11","0.00",,,,
"US1ILCK0027","42.0355","-88.1651","246.0","2007-10-12","0.00",,,,
"US1ILCK0027","42.0355","-88.1651","246.0","2007-10-13","0.00",,,,
"US1ILCK0027","42.0355","-88.1651","246.0","2007-10-14","0.04",,,,
"US1ILCK0027","42.0355","-88.1651","246.0","2007-10-15","0.19",,,,
"US1ILCK0027","42.0355","-88.1651","246.0","2007-10-16","0.79",,,,
"US1ILCK0027","42.0355","-88.1651","246.0","2007-10-17","0.01",,,,
"US1ILCK0027","42.0355","-88.1651","246.0","2007-10-18","0.33",,,,
"US1ILCK0027","42.0355","-88.1651","246.0","2007-10-19","0.03",,,,
"US1ILCK0027","42.0355","-88.1651","246.0","2007-10-20","0.00",,,,
"US1ILCK0027","42.0355","-88.1651","246.0","2007-10-21","0.00",,,,
"US1ILCK0027","42.0355","-88.1651","246.0","2007-10-22","0.00",,,,
"US1ILCK0027","42.0355","-88.1651","246.0","2007-10-23","0.17",,,,
"US1ILCK0027","42.0355","-88.1651","246.0","2007-10-24","0.00",,,,
"US1ILCK0027","42.0355","-88.1651","246.0","2007-10-25","0.00",,,,
"US1ILCK0027","42.0355","-88.1651","246.0","2007-10-26","0.02",,,,
