gridId,geometry
18,"POLYGON ((-87.6236 41.6387, -87.6048 41.6387, -87.6048 41.6242, -87.6236 41.6242, -87.6236 41.6387))"
19,"POLYGON ((-87.6048 41.6387, -87.5859 41.6387, -87.5859 41.6242, -87.6048 41.6242, -87.6048 41.6387))"
20,"POLYGON ((-87.5859 41.6387, -87.56699999999999 41.6387, -87.56699999999999 41.6242, -87.5859 41.6242, -87.5859 41.6387))"
21,"POLYGON ((-87.56699999999999 41.6387, -87.54819999999999 41.6387, -87.54819999999999 41.6242, -87.56699999999999 41.6242, -87.56699999999999 41.6387))"
22,"POLYGON ((-87.54819999999999 41.6387, -87.52930000000001 41.6387, -87.52930000000001 41.6242, -87.54819999999999 41.6242, -87.54819999999999 41.6387))"
23,"POLYGON ((-87.52930000000001 41.6387, -87.5104 41.6387, -87.5104 41.6242, -87.52930000000001 41.6242, -87.52930000000001 41.6387))"
24,"POLYGON ((-87.5104 41.6387, -87.49160000000001 41.6387, -87.49160000000001 41.6242, -87.5104 41.6242, -87.5104 41.6387))"
25,"POLYGON ((-87.49160000000001 41.6387, -87.4727 41.6387, -87.4727 41.6242, -87.49160000000001 41.6242, -87.49160000000001 41.6387))"
26,"POLYGON ((-87.9444 41.6532, -87.9255 41.6532, -87.9255 41.6387, -87.9444 41.6387, -87.9444 41.6532))"
27,"POLYGON ((-87.9255 41.6532, -87.9067 41.6532, -87.9067 41.6387, -87.9255 41.6387, -87.9255 41.6532))"
28,"POLYGON ((-87.9067 41.6532, -87.8878 41.6532, -87.8878 41.6387, -87.9067 41.6387, -87.9067 41.6532))"
29,"POLYGON ((-87.8878 41.6532, -87.8689 41.6532, -87.8689 41.6387, -87.8878 41.6387, -87.8878 41.6532))"
30,"POLYGON ((-87.8689 41.6532, -87.84999999999999 41.6532, -87.84999999999999 41.6387, -87.8689 41.6387, -87.8689 41.6532))"
31,"POLYGON ((-87.84999999999999 41.6532, -87.8312 41.6532, -87.8312 41.6387, -87.84999999999999 41.6387, -87.84999999999999 41.6532))"
32,"POLYGON ((-87.8312 41.6532, -87.81229999999999 41.6532, -87.81229999999999 41.6387, -87.8312 41.6387, -87.8312 41.6532))"
33,"POLYGON ((-87.81229999999999 41.6532, -87.79340000000001 41.6532, -87.79340000000001 41.6387, -87.81229999999999 41.6387, -87.81229999999999 41.6532))"
34,"POLYGON ((-87.79340000000001 41.6532, -87.77460000000001 41.6532, -87.77460000000001 41.6387, -87.79340000000001 41.6387, -87.79340000000001 41.6532))"
35,"POLYGON ((-87.77460000000001 41.6532, -87.7557 41.6532, -87.7557 41.6387, -87.77460000000001 41.6387, -87.77460000000001 41.6532))"
36,"POLYGON ((-87.7557 41.6532, -87.7368 41.6532, -87.7368 41.6387, -87.7557 41.6387, -87.7557 41.6532))"
37,"POLYGON ((-87.7368 41.6532, -87.718 41.6532, -87.718 41.6387, -87.7368 41.6387, -87.7368 41.6532))"
38,"POLYGON ((-87.718 41.6532, -87.6991 41.6532, -87.6991 41.6387, -87.718 41.6387, -87.718 41.6532))"
39,"POLYGON ((-87.6991 41.6532, -87.6802 41.6532, -87.6802 41.6387, -87.6991 41.6387, -87.6991 41.6532))"
